wordID,word,sentiment
1402,covetously,0
1403,cow,-1
1404,coward,-1
1405,cowardly,-1
1406,cozy,1
1407,crabby,-1
1408,crack,-1
1409,crackdown,-1
1410,cracked,-1
1411,cracks,-1
1412,craftily,-1
1413,craftly,-1
1414,crafty,-1
1415,cramp,-1
1416,cramped,-1
1417,cramping,-1
1418,cranky,-1
1419,crap,-1
1420,crappy,-1
1421,craps,-1
1422,crash,-1
1423,crashed,-1
1424,crashes,-1
1425,crashing,-1
1426,crass,-1
1427,crave,1
1428,craven,-1
1429,cravenly,-1
1430,craving,1
1431,craze,-1
1432,crazily,-1
1433,craziness,-1
1434,crazy,-1
1435,creak,-1
1436,creaking,-1
1437,creaks,-1
1438,creative,1
1439,credence,1
1440,credible,1
1441,credulous,-1
1442,creep,-1
1443,creeping,-1
1444,creeps,-1
1445,creepy,-1
1446,crept,-1
1447,crime,-1
1448,criminal,-1
1449,cringe,-1
1450,cringed,-1
1451,cringes,-1
1452,cripple,-1
1453,crippled,-1
1454,cripples,-1
1455,crippling,-1
1456,crisis,-1
1457,crisp,1
1458,crisper,1
1459,critic,-1
1460,critical,-1
1461,criticism,-1
1462,criticisms,-1
1463,criticize,-1
1464,criticized,-1
1465,criticizing,-1
1466,critics,-1
1467,cronyism,-1
1468,crook,-1
1469,crooked,-1
1470,crooks,-1
1471,cross,-1
1472,crowded,-1
1473,crowdedness,-1
1474,crude,-1
1475,cruel,-1
1476,crueler,-1
1477,cruelest,-1
1478,cruelly,-1
1479,cruelness,-1
1480,cruelties,-1
1481,cruelty,-1
1482,crumble,-1
1483,crumbling,-1
1484,crummy,-1
1485,crumple,-1
1486,crumpled,-1
1487,crumples,-1
1488,crusade,1
1489,crusader,1
1490,crush,-1
1491,crushed,-1
1492,crushing,-1
1493,cry,-1
1494,culpable,-1
1495,culprit,-1
1496,cumbersome,-1
1497,cunt,-1
1498,cunts,-1
1499,cuplrit,-1
1500,cure,1
1501,cure-all,1
1502,curious,1
1503,curiously,1
1504,curse,-1
1505,cursed,-1
1506,curses,-1
1507,cursory,-1
1508,curt,-1
1509,cushy,1
1510,cuss,-1
1511,cussed,-1
1512,cut,-1
1513,cute,1
1514,cuteness,1
1515,cutthroat,-1
1516,cynical,-1
1517,cynicism,-1
1518,d*mn,-1
1519,damage,-1
1520,damaged,-1
1521,damages,-1
1522,damaging,-1
1523,damn,-1
1524,damnable,-1
1525,damnably,-1
1526,damnation,-1
1527,damned,-1
1528,damning,-1
